center,left,right,steering_angle,accelerator,brake,speed
D:\self driving car\IMG\center_2024_01_28_12_16_43_057.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_057.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_057.jpg,-0.35,1,0,23.94706
D:\self driving car\IMG\center_2024_01_28_12_16_43_127.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_127.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_127.jpg,0,1,0,24.49725
D:\self driving car\IMG\center_2024_01_28_12_16_43_198.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_198.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_198.jpg,-0.1,1,0,25.26201
D:\self driving car\IMG\center_2024_01_28_12_16_43_270.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_270.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_270.jpg,-0.25,1,0,25.81942
D:\self driving car\IMG\center_2024_01_28_12_16_43_339.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_339.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_339.jpg,-0.45,1,0,26.492
D:\self driving car\IMG\center_2024_01_28_12_16_43_411.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_411.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_411.jpg,0,1,0,27.04016
D:\self driving car\IMG\center_2024_01_28_12_16_43_485.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_485.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_485.jpg,-0.15,1,0,27.78613
D:\self driving car\IMG\center_2024_01_28_12_16_43_553.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_553.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_553.jpg,-0.3,1,0,28.31876
D:\self driving car\IMG\center_2024_01_28_12_16_43_623.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_623.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_623.jpg,0,1,0,29.0043
D:\self driving car\IMG\center_2024_01_28_12_16_43_693.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_693.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_693.jpg,-0.05,1,0,29.55018
D:\self driving car\IMG\center_2024_01_28_12_16_43_760.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_760.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_760.jpg,-0.25,1,0,30.17793
D:\self driving car\IMG\center_2024_01_28_12_16_43_828.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_828.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_828.jpg,0,1,0,30.18894
D:\self driving car\IMG\center_2024_01_28_12_16_43_900.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_900.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_900.jpg,0,1,0,30.18916
D:\self driving car\IMG\center_2024_01_28_12_16_43_968.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_43_968.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_43_968.jpg,-0.15,1,0,30.18683
D:\self driving car\IMG\center_2024_01_28_12_16_44_036.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_036.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_036.jpg,-0.35,1,0,30.16635
D:\self driving car\IMG\center_2024_01_28_12_16_44_103.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_103.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_103.jpg,0,1,0,30.18833
D:\self driving car\IMG\center_2024_01_28_12_16_44_177.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_177.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_177.jpg,-0.15,1,0,30.18894
D:\self driving car\IMG\center_2024_01_28_12_16_44_248.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_248.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_248.jpg,-0.3,0.8985277,0,30.16276
D:\self driving car\IMG\center_2024_01_28_12_16_44_314.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_314.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_314.jpg,0,0.7157714,0,30.12921
D:\self driving car\IMG\center_2024_01_28_12_16_44_383.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_383.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_383.jpg,0,0,0,30.07242
D:\self driving car\IMG\center_2024_01_28_12_16_44_452.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_452.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_452.jpg,0,0,0.1882233,28.91988
D:\self driving car\IMG\center_2024_01_28_12_16_44_525.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_525.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_525.jpg,-0.05,0,0.1505946,27.50143
D:\self driving car\IMG\center_2024_01_28_12_16_44_596.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_596.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_596.jpg,-0.25,0,0,26.0296
D:\self driving car\IMG\center_2024_01_28_12_16_44_665.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_665.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_665.jpg,-0.4,0.1859241,0,25.38776
D:\self driving car\IMG\center_2024_01_28_12_16_44_738.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_738.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_738.jpg,0,0.4246815,0,25.48001
D:\self driving car\IMG\center_2024_01_28_12_16_44_810.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_810.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_810.jpg,-0.05,0.6181494,0,25.73782
D:\self driving car\IMG\center_2024_01_28_12_16_44_884.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_884.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_884.jpg,-0.25,0.8389171,0,26.20545
D:\self driving car\IMG\center_2024_01_28_12_16_44_954.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_44_954.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_44_954.jpg,0,1,0,26.67441
D:\self driving car\IMG\center_2024_01_28_12_16_45_025.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_025.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_025.jpg,0,1,0,27.42235
D:\self driving car\IMG\center_2024_01_28_12_16_45_097.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_097.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_097.jpg,-0.15,1,0,28.16502
D:\self driving car\IMG\center_2024_01_28_12_16_45_168.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_168.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_168.jpg,-0.3,1,0,28.68684
D:\self driving car\IMG\center_2024_01_28_12_16_45_235.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_235.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_235.jpg,0,1,0,29.2338
D:\self driving car\IMG\center_2024_01_28_12_16_45_307.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_307.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_307.jpg,0,1,0,29.96406
D:\self driving car\IMG\center_2024_01_28_12_16_45_378.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_378.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_378.jpg,0,1,0,30.19037
D:\self driving car\IMG\center_2024_01_28_12_16_45_448.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_448.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_448.jpg,-0.1,1,0,30.18871
D:\self driving car\IMG\center_2024_01_28_12_16_45_516.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_516.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_516.jpg,0,1,0,30.18639
D:\self driving car\IMG\center_2024_01_28_12_16_45_588.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_588.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_588.jpg,0,1,0,30.19007
D:\self driving car\IMG\center_2024_01_28_12_16_45_660.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_660.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_660.jpg,-0.1,1,0,30.18894
D:\self driving car\IMG\center_2024_01_28_12_16_45_730.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_730.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_730.jpg,-0.25,1,0,30.17674
D:\self driving car\IMG\center_2024_01_28_12_16_45_797.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_797.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_797.jpg,0,1,0,30.18998
D:\self driving car\IMG\center_2024_01_28_12_16_45_865.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_865.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_865.jpg,-0.05,1,0,30.1901
D:\self driving car\IMG\center_2024_01_28_12_16_45_933.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_45_933.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_45_933.jpg,-0.2,1,0,30.18188
D:\self driving car\IMG\center_2024_01_28_12_16_46_008.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_008.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_008.jpg,-0.4,0.9010954,0,30.1474
D:\self driving car\IMG\center_2024_01_28_12_16_46_078.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_078.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_078.jpg,0,0.6680806,0,30.11399
D:\self driving car\IMG\center_2024_01_28_12_16_46_147.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_147.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_147.jpg,0,0.4823533,0,30.06859
D:\self driving car\IMG\center_2024_01_28_12_16_46_217.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_217.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_217.jpg,0,0.250249,0,30.01423
D:\self driving car\IMG\center_2024_01_28_12_16_46_288.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_288.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_288.jpg,0,0.1450918,0,29.94283
D:\self driving car\IMG\center_2024_01_28_12_16_46_361.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_361.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_361.jpg,0,0.3852613,0,29.93973
D:\self driving car\IMG\center_2024_01_28_12_16_46_432.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_432.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_432.jpg,0,0.5530177,0,30.06283
D:\self driving car\IMG\center_2024_01_28_12_16_46_503.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_503.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_503.jpg,-0.15,0.791332,0,30.12416
D:\self driving car\IMG\center_2024_01_28_12_16_46_572.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_572.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_572.jpg,0,0.9801961,0,30.16814
D:\self driving car\IMG\center_2024_01_28_12_16_46_641.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_641.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_641.jpg,0,1,0,30.19007
D:\self driving car\IMG\center_2024_01_28_12_16_46_714.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_714.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_714.jpg,0,1,0,30.19023
D:\self driving car\IMG\center_2024_01_28_12_16_46_785.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_785.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_785.jpg,0,1,0,30.19027
D:\self driving car\IMG\center_2024_01_28_12_16_46_855.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_855.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_855.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_16_46_926.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_926.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_926.jpg,-0.2,1,0,30.18026
D:\self driving car\IMG\center_2024_01_28_12_16_46_995.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_46_995.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_46_995.jpg,0,1,0,30.1895
D:\self driving car\IMG\center_2024_01_28_12_16_47_066.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_066.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_066.jpg,0,1,0,30.19017
D:\self driving car\IMG\center_2024_01_28_12_16_47_137.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_137.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_137.jpg,0,1,0,30.19029
D:\self driving car\IMG\center_2024_01_28_12_16_47_208.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_208.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_208.jpg,0,0.9111724,0,30.1828
D:\self driving car\IMG\center_2024_01_28_12_16_47_279.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_279.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_279.jpg,-0.2,0.6758048,0,30.11079
D:\self driving car\IMG\center_2024_01_28_12_16_47_351.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_351.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_351.jpg,0,0.5034617,0,30.06676
D:\self driving car\IMG\center_2024_01_28_12_16_47_426.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_426.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_426.jpg,0,0.2610242,0,30.01635
D:\self driving car\IMG\center_2024_01_28_12_16_47_497.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_497.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_497.jpg,0,0.02542943,0,29.90107
D:\self driving car\IMG\center_2024_01_28_12_16_47_569.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_569.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_569.jpg,-0.15,0,0,29.71765
D:\self driving car\IMG\center_2024_01_28_12_16_47_643.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_643.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_643.jpg,0,0.0933858,0,29.44854
D:\self driving car\IMG\center_2024_01_28_12_16_47_713.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_713.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_713.jpg,0,0.2832984,0,29.39539
D:\self driving car\IMG\center_2024_01_28_12_16_47_786.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_786.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_786.jpg,-0.1,0.5226915,0,29.53507
D:\self driving car\IMG\center_2024_01_28_12_16_47_893.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_893.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_893.jpg,0,0.8620815,0,30.06968
D:\self driving car\IMG\center_2024_01_28_12_16_47_959.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_47_959.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_47_959.jpg,0,1,0,30.19184
D:\self driving car\IMG\center_2024_01_28_12_16_48_031.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_031.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_031.jpg,0,1,0,30.19013
D:\self driving car\IMG\center_2024_01_28_12_16_48_102.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_102.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_102.jpg,-0.2,1,0,30.18163
D:\self driving car\IMG\center_2024_01_28_12_16_48_170.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_170.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_170.jpg,0,1,0,30.18508
D:\self driving car\IMG\center_2024_01_28_12_16_48_242.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_242.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_242.jpg,0,1,0,30.18984
D:\self driving car\IMG\center_2024_01_28_12_16_48_314.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_314.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_314.jpg,-0.05,1,0,30.19013
D:\self driving car\IMG\center_2024_01_28_12_16_48_386.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_386.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_386.jpg,-0.25,1,0,30.177
D:\self driving car\IMG\center_2024_01_28_12_16_48_458.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_458.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_458.jpg,0,1,0,30.19006
D:\self driving car\IMG\center_2024_01_28_12_16_48_528.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_528.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_528.jpg,0,1,0,30.19018
D:\self driving car\IMG\center_2024_01_28_12_16_48_600.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_600.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_600.jpg,-0.15,1,0,30.18555
D:\self driving car\IMG\center_2024_01_28_12_16_48_672.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_672.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_672.jpg,-0.3,1,0,30.17078
D:\self driving car\IMG\center_2024_01_28_12_16_48_740.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_740.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_740.jpg,0,1,0,30.18983
D:\self driving car\IMG\center_2024_01_28_12_16_48_813.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_813.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_813.jpg,0,1,0,30.19012
D:\self driving car\IMG\center_2024_01_28_12_16_48_887.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_887.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_887.jpg,0,1,0,30.19032
D:\self driving car\IMG\center_2024_01_28_12_16_48_955.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_48_955.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_48_955.jpg,-0.15,1,0,30.18523
D:\self driving car\IMG\center_2024_01_28_12_16_49_030.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_49_030.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_49_030.jpg,-0.35,1,0,30.16448
D:\self driving car\IMG\center_2024_01_28_12_16_49_099.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_49_099.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_49_099.jpg,0,0.7659535,0,30.14374
